ds,y,humidity,temp,gtrends_allergie,gtrends_pollen allergie,gtrends_heuschnupfen,gtrends_pollen,influenza,pollution_Zurich_no2,pollution_Zurich_o3,pollution_Zurich_pm10,pollution_Zurich_pm25,pollution_Zurich_so2
2020-08-24,1.2925366912502645,66.81396447396821,293.722877928571,175,34,61,75,0.0,5.68571428571428,23.0714285714285,8.14285714285714,1.42857142857142,0.242857142857142
2020-08-31,2.676984412055628,74.20842781523804,289.6942450841264,197,36,0,76,0.0,6.38571428571428,19.5285714285714,8.28571428571428,1.28571428571428,0.257142857142857
2020-09-07,2.8420189629050348,73.62972411142852,289.236136623809,113,0,25,44,0.0,6.35714285714285,19.8,8.57142857142857,1.85714285714285,0.285714285714285
2020-09-14,3.2881674527072375,75.76162131523806,291.6864701476187,127,8,26,25,0.0,8.38571428571428,15.8142857142857,13.8571428571428,2.85714285714285,0.371428571428571
2020-09-21,3.1481143276096195,76.93953136793647,291.81943121745996,86,19,0,22,0.0,8.44285714285714,22.0,20.8571428571428,3.0,0.342857142857142
2020-09-28,3.3563973499027564,80.30102040777774,284.5067375301582,174,31,0,40,1.0,5.18571428571428,20.4571428571428,6.85714285714285,1.28571428571428,0.242857142857142
2020-10-05,2.874735474395047,84.36243386222216,284.35779856507884,127,27,26,27,0.0,7.75714285714285,14.8857142857142,8.0,2.0,0.3
2020-10-12,4.643769783523912,80.06802721047613,283.3848252111107,110,0,0,107,0.0,6.84285714285714,14.9714285714285,6.57142857142857,1.42857142857142,0.314285714285714
2020-10-19,3.5907587084865833,82.41516354031742,280.6073382682535,93,47,0,49,1.0,8.44285714285714,8.08571428571428,9.14285714285714,2.14285714285714,0.442857142857142
2020-10-26,3.6580331776336643,85.34740259682536,283.73862073015823,96,0,107,21,0.0,11.6714285714285,7.35714285714285,13.2857142857142,3.42857142857142,0.585714285714285
2020-11-02,3.064430646226058,83.38498075968248,283.29968976190435,124,70,148,147,1.0,9.18571428571428,10.4857142857142,8.14285714285714,2.28571428571428,0.457142857142857
2020-11-09,3.1610253513168507,85.54948292460314,282.3762012999994,135,3,61,70,1.0,8.98571428571428,7.21428571428571,13.1428571428571,2.85714285714285,0.471428571428571
2020-11-16,3.34151371812153,83.37331649777772,281.5277014222216,120,0,0,73,4.0,12.0857142857142,4.68571428571428,15.2857142857142,3.85714285714285,0.728571428571428
2020-11-23,3.18334268851456,78.2388167392063,278.04959896507904,118,4,82,4,0.0,12.4,5.61428571428571,13.4285714285714,3.71428571428571,0.771428571428571
2020-11-30,2.567611347765458,81.2535473780952,275.63567279999955,139,13,30,22,0.0,13.5,3.71428571428571,17.8571428571428,3.0,0.5
2020-12-07,1.984651641857304,88.80471380492061,274.65808321111075,114,5,0,70,4.0,16.2857142857142,2.78571428571428,14.4285714285714,3.28571428571428,0.657142857142857
2020-12-14,1.8442602781118493,87.00644122428565,274.9911269238089,107,143,70,173,7.0,13.4714285714285,6.17142857142857,13.0,2.71428571428571,0.557142857142857
2020-12-21,2.772593387377783,88.40417372523805,277.95429784126964,126,100,21,106,0.0,14.2428571428571,0.657142857142857,14.4285714285714,4.71428571428571,0.785714285714285
2020-12-28,2.1086432768570322,80.13606301063487,276.6220442507931,144,45,0,118,0.0,8.15714285714285,14.5857142857142,6.0,1.42857142857142,0.5
